,name,address,lat,lng
92,LE LE CHA(龙之梦购物中心店),上海市长宁区长宁路1018号龙之梦购物中心F1,31.225626,121.42379
93,1点点(定西店),上海市长宁区定西路1242号,31.221026,121.429379
94,甘柚,上海市长宁区万航渡路1384弄12号湖丝栈创意产业园1号楼附楼2楼,31.231723,121.428318
95,喜茶(长宁龙之梦店),上海市长宁区长宁路1018号龙之梦购物中心黄中庭1层,31.225577,121.422505
96,洋洋咖啡uu,上海市长宁区愚园路1000-2号,31.2254,121.436784
97,夏朵星期天,复兴西路246号,31.217392,121.444686
98,鲜芋仙(龙之梦购物中心店),上海市长宁区长宁路1018号龙之梦购物中心2层,31.225743,121.423405
99,麦禾田食品,定西路1566-1号,31.224913,121.428348
100,Gregorius,上海市长宁区愚园路991号,31.225091,121.436806
101,上海育音堂文化传播有限公司(凯旋路店),上海市长宁区凯旋路851号(麦当劳对面),31.215241,121.423257
102,瑞幸咖啡(玫瑰坊店),上海市长宁区长宁路890号玫瑰坊F1,31.225247,121.425276
103,1617,上海市长宁区长宁路890号玫瑰坊M,31.225589,121.424968
104,parkCoffee(长宁路店),上海市长宁区长宁路1018号龙之梦购物中心万丽酒店25楼咖啡厅(近凯旋路),31.224905,121.423639
105,南大门韩糕(中山公园店),上海市长宁区长宁路402号,31.229491,121.43302
106,KOIThé(舜元天地店),长宁区江苏路458号107-3室,31.224643,121.43739
107,米芝莲(龙之梦大厦店),上海市长宁区长宁路1018号龙之梦购物中心B1,31.22474,121.423021
